Country,Impact_Day_0,Impact_Day_30,Impact_Day_90,Impact_Day_180,Impact_Day_365
Guinea,62.149379396348024,61.78557919296067,61.0643549887301,59.998273295851426,57.86497393764371
Guinea-Bissau,67.447994298521,67.05317790160436,66.2704649205998,65.1134932397649,62.798317057042034
Guyana,43.43963304735472,43.18535299675411,42.68124957559449,41.9361062131513,40.44502549439281
Haiti,53.62123787676251,53.30735835881845,52.68510058258395,51.765306682706836,49.92473878870913
Honduras,49.86564288778252,49.57374727754763,48.99507201225126,48.139699850813166,46.42804407882692
Hungary,43.06520987785392,42.813121566359,42.313363209544214,41.57464252887631,40.0964140174118
Iceland,34.30140915670918,34.10062099520395,33.702563818071646,33.11417331929126,31.936765357210664
India,59.775371238506,59.42546762844033,58.73179304998409,57.70643399440932,55.654623303163284
Indonesia,52.77840986908582,52.469463964374775,51.85698694484362,50.95165052656901,49.14001300106927
Iraq,54.21192883838499,53.894591627153176,53.26547906615846,52.33555272688371,50.4747091573834
Isle of Man,52.363816608844374,52.057297584560196,51.4496317907742,50.55140711342166,48.754000647742316
Israel,41.267998820626936,41.02643073885112,40.54752845698306,39.83963630308339,38.42309769475525
Italy,42.798099512385754,42.54757476928408,42.05091614512388,41.31677735205275,39.84771749805126
Jamaica,44.09762505145435,43.83949335137238,43.327754137801705,42.571323885023574,41.057657358752834
Japan,42.10942581454614,41.86293232056997,41.37426554032716,40.651939937166624,39.20651905063166
Jordan,50.71393252392188,50.417071330037466,49.82855192753934,48.95862859825161,47.21785498544495
Kazakhstan,43.634562130385916,43.37914103476215,42.87277552226459,42.12428843653972,40.626516708284996
Kenya,55.20699678992243,54.883834807362724,54.243174792500035,53.2961795180789,51.40117989033624
Kiribati,49.48818233901204,49.198496247613015,48.624201294502534,47.775303916638094,46.07660461106008
Kosovo,55.96800179361153,55.64038516037293,54.99089391930119,54.03084471722217,52.10972332443968
Kuwait,49.055630559585666,48.76847647135158,48.199201147011905,47.357723562196846,45.67387174894144
Latvia,42.27933277048004,42.03184470204912,41.54120620446534,40.81596609601169,39.36471309331453
Lebanon,44.682617080710386,44.42106104684922,43.90253318285468,43.13606824752739,41.60232166361666
Lesotho,59.22713530317495,58.880440869881674,58.19312839881944,57.1771735287685,55.14418122928032
Liberia,66.55395839901189,66.164375367983,65.39203739532832,64.25040159257459,61.9659135072899
Libya,51.10360233079273,50.80446014944922,50.21141875012501,49.33481120530034,47.580662038996856
Liechtenstein,52.13465743572347,51.829479827147686,51.224473354241184,50.33017956729483,48.540639071021694
